input|target
Did Tom help his mother yesterday?|Tom ha aiutato sua madre ieri?
I'd like a room facing the garden.|Io vorrei una camera che si affacci sul giardino.
Tom's desk is covered with stuff.|La scrivania di Tom è coperta di roba.
Are you sure you don't want to drive?|Sei sicura di non volere guidare?
You've been unlucky, haven't you?|Lei è stata sfortunata, vero?
I know how to take care of babies.|Lo so come prendermi cura dei bebè.
I've got everything under control.|Ho tutto sotto controllo.
Why didn't you call me last night?|Perché non mi avete chiamato la scorsa notte?
What are your plans for Christmas?|Quali sono i vostri piani per Natale?
I've got a lot of work to do today.|Ho molto lavoro da fare oggi.
These things aren't needed anymore.|Queste cose non sono più richieste.
Is Tom planning to do that today?|Tom ha intenzione di farlo oggi?
Tom has some things he has to do.|Tom ha alcune cose che deve fare.
I couldn't come because of the rain.|Non sono potuta venire a causa della pioggia.
She decided to have the operation.|Lei ha deciso di fare l'operazione.
Are you coming at six or at seven?|Vieni alle sei o alle sette?
Tom knows the police suspect him.|Tom sa che la polizia sospetta di lui.
Who's the woman sitting next to Tom?|Chi è la donna seduta accanto a Tom?
Who did you go to Australia with?|Con chi sei andato in Australia?
It sounds like you had a great time.|Sembra che si sia divertito molto.
I'm going to bring Tom some dinner.|Io sto andando a portare a Tom qualcosa per cena.
How long have you been doing this?|Da quanto tempo la stai facendo?
Have you seen my glasses anywhere?|Lei ha visto da qualche parte i miei occhiali?
He is an authority on criminal law.|È un luminare in diritto penale.
Everybody in the village knew him.|Tutti nel villaggio lo conoscevano.
Tom decided to ask Mary to do that.|Tom decise di chiedere a Mary di farlo.
I love old prewar gangster movies.|Io amo i film di gangster dell'anteguerra.
Tom isn't trying to impress Mary.|Tom non sta provando a impressionare Mary.
I'm going to carry out this plan.|Io ho intenzione di realizzare questo piano.
The sooner we're paid, the better.|Prima veniamo pagate, meglio è.
I know that Tom saved Mary's life.|Lo so che Tom ha salvato la vita di Mary.
This garden is open to the public.|Questo giardino è aperto al pubblico.
The plane made a perfect landing.|L'aereo ha effettuato un atterraggio perfetto.
Each of the three boys got a prize.|Ciascuno dei tre ragazzi ricevette un premio.
I've never heard you talk like that.|Io non l'ho mai sentito parlare così.
Tom is a music teacher, isn't he?|Tom è un insegnante di musica, vero?
Can you explain why you dislike him?|Riesce a spiegare perché non le piace?
You're not interrupting anything.|Non stai interrompendo nulla.
Even angels can't satisfy everyone.|Nemmeno gli angeli possono soddisfare tutti.
I'm unable to answer that question.|Non sono in grado di rispondere a quella domanda.
Have you received Tom's invitation?|Hai ricevuto l'invito di Tom?
Did you enjoy yourself at the party?|Tu ti sei divertita alla festa?
Mary was arrested for shoplifting.|Mary fu arrestata per taccheggio.
I wish he had attended the meeting.|Io avrei voluto che avesse partecipato alla riunione.
He should have done that long ago.|Avrebbe dovuto farlo tanto tempo fa.
What did you have for lunch today?|Che cos'hai mangiato a pranzo oggi?
I don't understand why you want it.|Non capisco perché lo volete.
She was afraid to cross the road.|Aveva paura di attraversare la strada.
Put the eggs into the boiling water.|Metti le uova nell'acqua che bolle.
I don't have a girlfriend anymore.|Io non ho più una ragazza.
I don't plan to ever do that again.|Non penso di farlo mai più.
When is the next train to Boston?|Quando è il prossimo treno per Boston?
It has more than doubled in size.|È più che raddoppiato in dimensione.
I didn't feel particularly nervous.|Non mi sentivo particolarmente nervoso.
He was underwater for three minutes.|Lui è rimasto sott'acqua per tre minuti.
I know Tom is almost always at home.|So che Tom è quasi sempre a casa.
I don't think you're schizophrenic.|Io non penso che tu sia schizofrenico.
Tom asked Mary why she was so late.|Tom ha chiesto a Mary perché era così in ritardo.
Did Tom tell you what has to be done?|Tom ti ha detto cosa deve essere fatto?
This insurance covers everything.|Quest'assicurazione copre tutto.
Tom didn't go, and neither did I.|Tom non è andato, e neanche io.
Do you know the name of this game?|Lei sa il nome di questo gioco?
I don't think French is difficult.|Non penso che il francese sia difficile.
What'll they do when they get there?|Cosa faranno quando arrivano lì?
They formed a new political party.|Hanno formato un nuovo partito politico.
You have to eat nutritious foods.|Devi mangiare cibi nutrienti.
Tom is still a teacher, isn't he?|Tom è ancora un insegnante, vero?
Tom acted like a perfect gentleman.|Tom si comportò come un perfetto gentiluomo.
Have you ever spent time in Boston?|Avete mai trascorso del tempo a Boston?
When did you begin learning French?|Quando ha iniziato a imparare il francese?
I think that's pretty good advice.|Penso che sia un consiglio piuttosto buono.
Do you know if he has a girlfriend?|Sapete se ha una fidanzata?
It is not far away from the hotel.|Non è molto lontano dall'albergo.
Tom removed the key from the door.|Tom tolse la chiave dalla porta.
Iron is much more useful than gold.|Il ferro è molto più utile dell'oro.
Maybe we can do something to help.|Forse possiamo fare qualcosa per aiutare.
We'll see who has the last laugh.|Vedremo chi ride per ultimo.
Only one of the boys looked tired.|Solo uno dei ragazzi sembrava stanco.
Have you ever played golf with Tom?|Tu hai mai giocato a golf con Tom?
I'm probably not as tired as Tom is.|Probabilmente non sono stanca quanto Tom.
Tom is going to be on TV tonight.|Tom sarà in TV questa sera.
You have a tendency to exaggerate.|Lei ha una tendenza a esagerare.
I just have one other thing to do.|Io ho soltanto un'altra cosa da fare.
Good things come in small packages.|Le cose buone arrivano in pacchi piccoli.
Her broken leg has not healed yet.|La sua gamba rotta non è ancora guarita.
Tom has three children to support.|Tom ha tre figli da mantenere.
Where did you spend your vacation?|Dove hai passato le vacanze?
Tom seldom puts sugar in his coffee.|Tom mette raramente lo zucchero nel suo caffè.
Write your name in capital letters.|Scrivete il vostro nome in maiuscolo.
It's up to you to decide what to do.|Sta a te decidere cosa fare.
The surgeon operated on the patient.|Il chirurgo operò la paziente.
She was scared to cross the road.|Aveva paura ad attraversare la strada.
They just wanted to be left alone.|Volevano solo essere lasciate da sole.
I'm accustomed to getting up early.|Ci sono abituata ad alzarmi presto.
Do you have any idea where Tom is?|Tu hai qualche idea su dove sia Tom?
Tom thinks his parents are perfect.|Tom pensa che i suoi genitori siano perfetti.
Do you really think Tom is honest?|Voi pensate davvero che Tom sia onesto?
I think your plan is pretty stupid.|Penso che il tuo piano sia piuttosto stupido.
Do you know how to use a dictionary?|Sapete come utilizzare un dizionario?
Tom will be scolded by his father.|Tom sarà ripreso da suo padre.
Do you have permission to be here?|Hai il permesso di essere qui?
I don't like swimming, but Tom does.|A me non piace nuotare, ma a Tom sì.
I suppose I shouldn't be surprised.|Suppongo che non dovrei essere sorpreso.
I don't need to go anywhere today.|Non devo andare da nessuna parte oggi.
Who are you going to dinner with?|Con chi stai andando a cena?
You may stay here if you want to.|Potete stare qui se volete.
Tom didn't tell me his last name.|Tom non mi disse il suo cognome.
How do you account for your absence?|Come spiegate la vostra assenza?
Don't ask them where they are going.|Non chiedere loro dove stanno andando.
Tom is too busy now to talk to you.|Tom è troppo impegnato adesso per parlare con lei.
You'd better not go outside today.|Faresti meglio a non uscire oggi.
I'd like to go to France sometime.|Mi piacerebbe andare in Francia un giorno.
Do you understand what's going on?|Capisci cosa sta succedendo?
Why do you need to read such a book?|Perché hai bisogno di leggere un tale libro?
I think you're too drunk to drive.|Penso che voi siate troppo ubriachi per guidare.
We're going to do better than that.|Faremo meglio di così.
You need to read between the lines.|Dovete leggere tra le righe.
Today I have a lot of things to do.|Oggi io ho molte cose da fare.
I think that's what happened to Tom.|Io penso che sia quello che è successo a Tom.
The less you know, the better, OK?|Meno si sa, meglio è, OK?
It's my turn to take out the trash.|Tocca a me portare fuori la spazzatura.
We have no choice but to risk it.|Noi non abbiamo altra scelta che rischiarlo.
Go out and get some more firewood.|Uscite a prendere un po' di legna da ardere.
We watch television every evening.|Guardiamo la televisione ogni sera.
She gave me a book for Christmas.|Lei mi ha dato un libro per Natale.
I don't like you when you're angry.|Non mi piacete quando siete arrabbiate.
Tom is a lot better now, isn't he?|Tom sta molto meglio ora, vero?
Tom got Mary to carry his suitcase.|Tom ha fatto portare a Mary la sua valigia.
Tom said that the soup was too hot.|Tom ha detto che la minestra era troppo calda.
You've got thirteen minutes left.|Vi restano trenta minuti.
I know Tom isn't a very good singer.|So che Tom non è un cantante molto bravo.
Tom didn't ask what the rules were.|Tom non ha chiesto quali fossero le regole.
Didn't you say Tom was an architect?|Non ha detto che Tom era un architetto?
Arabic is a very important language.|L'arabo è una lingua molto importante.
You've read the report, haven't you?|Voi avete letto il rapporto, vero?
Here's some medicine for diarrhea.|Ecco un po' di medicina contro la diarrea.
The question is what does Tom want.|La questione è cosa vuole Tom.
Tom doesn't have much experience.|Tom non ha molta esperienza.
I don't listen to punk rock anymore.|Non ascolto più il punk rock.
Have you traveled in Europe before?|Tu hai già viaggiato in Europa?
There is more water than is needed.|C'è più acqua di quanta richiesta.
Tom is still working as a bartender.|Tom sta ancora lavorando come barista.
It's actually kind of interesting.|In realtà è piuttosto interessante.
Tom told me the party was tonight.|Tom mi ha detto che la festa era questa sera.
I don't know which child is yours.|Non so quale bambina sia la sua.
You wouldn't have recognized Tom.|Non avreste riconosciuto Tom.
Why don't we explain it to the jury?|Perché non la spieghiamo alla giuria?
This tree is older than that car.|Quest'albero è più vecchio di quella macchina.
You're supposed to be back by noon.|Dovrebbe tornare entro mezzogiorno.
Don't forget to answer his letter.|Non si dimentichi di rispondere alla sua lettera.
I have the right to call my lawyer.|Ho diritto a chiamare il mio avvocato.
Do we have a babysitter for tonight?|Noi abbiamo una babysitter per questa sera?
We teach each other lots of things.|Noi ci insegnamo a vicenda molte cose.
Tom told Mary a very strange story.|Tom raccontò a Mary una storia molto strana.
You're the prettiest girl in town.|Tu sei la ragazza più bella della città.
How did you make a living in Tokyo?|Tu come ti guadagnavi da vivere a Tokyo?
I can't give you the answer today.|Non ti riesco a dare la risposta oggi.
We need to find out what Tom wants.|Noi dobbiamo scoprire cosa vuole Tom.
Tom poured Mary a glass of water.|Tom versò un bicchiere d'acqua a Mary.
